,Name,Apps,Mins,Mins/Gm,Height,Weight,Age,Av Rat,Gls,Gls/90,Shot %,Pen/R,xG,Ch C/90,Asts/90,K Ps/90,Pas %,Cr C/A,Drb/90,Distance,Hdr %,K Tck,Fls,Int/90,Clear,Con/90,xSv %,Sv %,Svh,Svt,Svp,Pens Saved Ratio,PoM,Aer A/90,Off,Based,Tck R,CA,Saves,Saves/xSv%,Gls/xG,Dist/Mins,Transfer Value,Value
13,Jakov Karabatić,13,1095,84.23076923,197,90,22,6.68,0,0,0,0,0.37,0.1,0,0.08,0.9,0,0.08,110.2,0.85,0,17,2.63,119,0,0,0,0,0,0,0,0,18.82,1,Croatia (Druga HNL),0.91,89,0,0,0,0.1006392694,€18K - €190K,104000
14,Ivan Težački,11,990,90,189,83,20,7.35,3,0.27,0.4,0,0.15,0,0.09,0.36,0.82,0.3,0.27,57.6,0.88,0,5,1.18,35,0,0,0,0,0,0,0,0,4.73,1,Croatia (Regionalne Lige - Sibenik),0.85,76,0,0,20,0.05818181818,€12K - €120K,66000
15,Matej Jukić,15,1250,83.33333333,184,80,25,6.89,3,0.22,0.35,1,2.15,0.29,0.07,0.79,0.91,0.4,0.14,177.7,0.7,0,20,1.44,18,0,0,0,0,0,0,0.79,2,6.05,0,Croatia (3. HNL Jug),0.79,92,0,0,1.395348837,0.14216,€1K - €12K,6500
16,Josip Rakić,15,1206,80.4,180,73,23,6.61,0,0,0.47,0,1.3,0.32,0.22,1.12,0.9,0.25,0.15,185.5,0.41,0,6,0.97,20,0,0,0,0,0,0,0,0,9.1,0,Croatia (Prva HNL),0.78,93,0,0,0,0.153814262,€3K - €9K,6000
17,Patrice Zoungrana,11,972,88.36363636,169,64,27,6.91,1,0.09,0.25,0,0.81,0.12,0.19,2.22,0.86,0.21,0.65,142.8,0.37,0,15,1.2,8,0,0,0,0,0,0,0,0,5.74,2,Croatia (Druga HNL),0.75,82,0,0,1.234567901,0.1469135802,€1K - €10K,5500
18,Tomislav Valentić,14,1037,74.07142857,184,76,28,7.14,1,0.09,0,0,0.21,0.26,0.09,1.22,0.9,0.2,0.09,126.8,0.83,1,16,2,45,0,0,0,0,0,0,0,0,7.12,1,Croatia (3. HNL Zapad),0.84,93,0,0,4.761904762,0.1222757956,€0 - €28K,14000
19,Ilija Đilas,12,1039,86.58333333,188,78,22,6.88,0,0,0,0,0,0,0,0.09,0.43,0,0,60,0,0,0,0,0,1.13,-40.96,-0.04,14,5,15,0,1,0,0,Croatia (Druga HNL),0,92,34,-0.830078125,0,0.05774783446,€0 - €55K,27500
20,Toni Aliaj,13,1061,81.61538462,182,77,23,6.83,0,0,0.5,0,0,1.82,0.08,1.44,0.87,0.25,3.05,146.2,0.85,1,21,2.54,39,0,0,0,0,0,0,0,0,7.13,6,Croatia (3. HNL Istok),0.8,86,0,0,0,0.1377945335,€0 - €16K,8000
21,Mihovil Klapan,14,1244,88.85714286,177,74,27,6.69,2,0.14,0.63,0,0.7,0.16,0.07,0.65,0.94,0.12,0,165.6,0.57,3,35,0.51,28,0,0,0,0,0,0,0,0,5.06,0,Croatia (Prva HNL),0.61,95,0,0,2.857142857,0.1331189711,€0 - €45K,22500
22,Matko Kramer,15,1350,90,190,87,25,6.63,0,0,0,0,0,0,0,0.2,0.38,0,0,80.1,0,0,0,0,0,1.33,0,-0.01,7,4,20,0,1,0,0,Croatia (3. HNL Jug),0,85,31,0,0,0.05933333333,€0 - €8K,4000
23,Đevad Selman,15,1331,88.73333333,179,69,19,7.15,0,0,0.38,0,0,1.27,0,0.14,0.72,1,0,7.4,1,0,16,0.14,2,0,0,0,0,0,0,0,1,0.27,0,Croatia (3. HNL Jug),0.56,79,0,0,0,0.005559729527,€22K - €210K,116000
24,Andrej Šimunec,12,1014,84.5,193,86,27,6.54,0,0,0.4,0,0.58,0,0,0.44,0.88,0,0.09,109.8,0.89,0,7,2.22,121,0,0,0,0,0,0,0,0,16.24,1,Croatia (Druga HNL),0.86,92,0,0,0,0.1082840237,€0 - €26K,13000
25,Karlo Ivančin,14,1143,81.64285714,169,59,19,6.94,0,0,0.13,0,1.25,0.6,0,1.26,0.88,0.27,0.16,153.4,0.73,2,15,2.52,77,0,0,0,0,0,0,0,0,8.27,6,Croatia (3. HNL Jug),0.88,81,0,0,0,0.134208224,€7K - €22K,14500
26,Josip Gačić,12,1110,92.5,183,79,24,7.19,1,0.08,0.33,0,0.55,0.18,0.08,0.24,0.91,0.66,0.08,125.8,0.73,3,8,2.43,131,0,0,0,0,0,0,0,1,15,1,Croatia (Druga HNL),0.83,102,0,0,1.818181818,0.1133333333,€12K - €40K,26000
27,Stjepan Jagić,12,867,72.25,186,80,20,7.02,0,0,0,0,0.33,0.1,0,0.31,0.88,1,0,96.9,0.86,3,13,3.01,109,0,0,0,0,0,0,0,0,16.82,1,Croatia (3. HNL Jug),0.33,89,0,0,0,0.1117647059,€6K - €60K,33000
28,Igor Čerina,15,1350,90,186,79,34,6.97,1,0.07,0.08,0,1.04,0.14,0.07,0.2,0.84,0.25,0,144.3,0.82,4,9,2.93,169,0,0,0,0,0,0,0,0,15.8,1,Croatia (3. HNL Jug),1,93,0,0,0.9615384615,0.1068888889,€0 - €9K,4500
29,Ivan Paponja,14,1260,90,179,72,25,7.06,0,0,0.2,0,0.09,0,0.29,0,0.77,0,0.07,26.2,0.6,0,7,0.21,3,0,0,0,0,0,0,0,0,0.36,0,Bosnia & Herzegovina (Liga 12),0.9,97,0,0,0,0.02079365079,€0 - €110K,55000
30,Luka Pasariček,12,970,80.83333333,169,64,24,6.93,2,0.19,0.5,0,0.99,0.24,0,1.48,0.91,0.28,0.37,123.7,0.72,0,17,1.3,26,0,0,0,0,0,0,0,0,2.97,0,Croatia (Druga HNL),0.73,90,0,0,2.02020202,0.1275257732,€0 - €40K,20000
31,Kristian Boglić,11,978,88.90909091,188,91,23,6.75,0,0,0,0,0,0,0,0.18,0.36,0,0,62.7,0,0,0,0,0,1.29,0,-0.04,10,6,12,0,0,0,0,Croatia (Druga HNL),0,88,28,0,0,0.06411042945,€0 - €40K,20000
32,Marko Mikulić,16,1470,91.875,185,89,28,6.59,0,0,0,0,0,0,0,0.06,0.28,0,0,71.1,0,0,0,0.18,0,2.63,-5.31,-0.01,39,11,28,0,0,0,0,Croatia (Prva HNL),0,98,78,-14.68926554,0,0.04836734694,€0 - €40K,20000
33,André Pedrosa,11,802,72.90909091,185,78,25,7.08,1,0.11,0.2,1,1.03,0.75,0.34,1.12,0.88,0.2,0.22,115.2,0.79,0,9,1.35,18,0,0,0,0,0,0,0.57,1,5.27,0,Portugal (Liga 3 Sul),0.57,102,0,0,0.9708737864,0.1436408978,€85K - €275K,180000
34,Nsana Simon,12,845,70.41666667,171,63,22,6.93,1,0.11,0.6,0,0.53,0,0.43,1.17,0.88,0.5,0.11,115.7,0.69,0,16,1.28,20,0,0,0,0,0,0,0,0,5.86,2,Slovenia (1. SNL),0.82,96,0,0,1.886792453,0.1369230769,€40K - €375K,207500
35,Patrick Stanić,16,1440,90,183,79,22,6.78,0,0,0,0,0.16,0.14,0,0.38,0.87,0.5,0,147.5,0.88,3,19,2.44,167,0,0,0,0,0,0,0,0,16.38,0,Croatia (3. HNL Istok),0.82,90,0,0,0,0.1024305556,€16K - €50K,33000
36,Domagoj Pušić,16,1273,79.5625,189,83,31,7.01,1,0.07,0.29,1,1.46,0.33,0,0.99,0.91,0.23,0.28,170.9,0.6,0,16,0.78,18,0,0,0,0,0,0,0.83,0,4.38,2,Croatia (3. HNL Istok),0.83,100,0,0,0.6849315068,0.1342498036,€20K - €65K,42500
37,Matija Mišić,12,1097,91.41666667,174,72,30,6.9,3,0.25,0.33,0,2.55,0.27,0.16,1.15,0.88,0.53,0.33,150.7,0.83,0,37,1.07,19,0,0,0,0,0,0,0,0,4.35,2,Croatia (Druga HNL),0.56,92,0,0,1.176470588,0.1373746582,€22K - €70K,46000
38,Miguel Assunção,13,1200,92.30769231,189,81,30,6.72,0,0,0,0,0,0,0,0,0.56,0,0,7.5,0,0,0,0,0,1.65,0,-0.5,0,1,1,0,0,0,0,Portugal (Primeira Divisão - Castelo Branco),0,83,2,0,0,0.00625,€5K - €16K,10500
39,Paulo Oliveira,14,1296,92.57142857,178,75,27,7.03,0,0,0,0,0.86,0,0.07,0,0.78,0,0.14,30.9,0.57,0,12,0.28,43,0,0,0,0,0,0,0,0,3.54,0,Portugal (Campeonato dos Açores - Ponta Delgada),1,83,0,0,0,0.02384259259,€6K - €20K,13000
40,Paulo Oliveira,14,1296,92.57142857,178,75,27,7.03,0,0,0,0,0.86,0,0.07,0,0.78,0,0.14,30.9,0.57,0,12,0.28,43,0,0,0,0,0,0,0,0,3.54,0,Portugal (Campeonato dos Açores - Ponta Delgada),1,83,0,0,0,0.02384259259,€5M - €10.5M,7750000
41,Paulo Oliveira,16,1440,90,187,82,30,7.16,0,0,0.33,0,1.05,0,0.12,0.25,0.92,0,0,165.4,0.81,3,6,3.5,124,0,0,0,0,0,0,0,2,13.31,1,Portugal (Primeira Liga),0.93,133,0,0,0,0.1148611111,€6K - €20K,13000
42,Paulo Oliveira,16,1440,90,187,82,30,7.16,0,0,0.33,0,1.05,0,0.12,0.25,0.92,0,0,165.4,0.81,3,6,3.5,124,0,0,0,0,0,0,0,2,13.31,1,Portugal (Primeira Liga),0.93,133,0,0,0,0.1148611111,€5M - €10.5M,7750000
43,Emanuel Oliveira,11,990,90,192,78,31,6.96,0,0,0,0,0.3,0.61,0,0.18,0.88,1,0.18,112,0.84,3,11,2.73,123,0,0,0,0,0,0,0,1,17.09,1,Portugal (Liga 3 Norte),0.64,84,0,0,0,0.1131313131,€0 - €28K,14000
44,Bruno Pinto,13,1200,92.30769231,184,90,30,7.49,0,0,0,0,0,0,0,0,0.51,0,0,9.4,0,0,0,0,0,0.97,0,-0.33,2,0,2,0,1,0,0,Portugal (Campeonato D`Elite Série 2 Porto),0,83,4,0,0,0.007833333333,€5K - €16K,10500
45,Petar Bosančić,15,1350,90,190,83,26,7.25,2,0.13,0.33,0,0,0,0.2,0.07,0.76,0,0,19.5,0.85,0,16,0.2,25,0,0,0,0,0,0,0,0,1.8,0,Bosnia & Herzegovina (Liga 12),0.92,101,0,0,0,0.01444444444,€26K - €275K,150500
46,Pedro Vieira,15,1380,92,176,78,21,7.37,0,0,0.25,0,0.06,0.12,0.2,0.13,0.79,0.33,0.13,42.7,0.84,0,21,0.52,20,0,0,0,0,0,0,0,0,1.63,0,Portugal (Campeonato dos Açores - Ponta Delgada),1,91,0,0,0,0.03094202899,€7K - €24K,15500
47,Luís Pedro,15,1380,92,189,74,27,7.51,0,0,0.14,0,0,0,0.2,0.2,0.8,0.33,0.26,39.3,0.77,1,21,0.65,17,0,0,0,0,0,0,0,1,1.43,0,Portugal (Campeonato dos Açores - Ponta Delgada),0.91,84,0,0,0,0.02847826087,€9K - €30K,19500
48,Rui Cardoso,13,1200,92.30769231,183,75,28,7.28,0,0,0,0,0.24,0.32,0.3,0.23,0.82,0.5,0.15,35.1,0.91,0,16,0.23,5,0,0,0,0,0,0,0,1,0.83,0,Portugal (Campeonato dos Açores - Ponta Delgada),0.96,86,0,0,0,0.02925,€0 - €22K,11000
49,Luka Lukić,16,1363,85.1875,192,80,21,6.8,0,0,0,0,0,0,0,0.26,0.4,0,0,68.5,0,0,0,0.07,0,1.06,-16.96,-0.04,6,6,19,0,0,0,0,Croatia (3. HNL Zapad),0,90,31,-1.827830189,0,0.0502567865,€0 - €70K,35000
50,Emanuel Mihalić,17,1590,93.52941176,190,81,22,7.48,2,0.11,1,0,0.26,0,0.11,0,0.83,0,0,35.3,0.88,0,10,0.68,41,0,0,0,0,0,0,0,2,3.23,0,Croatia (3. HNL Jug),0.93,86,0,0,7.692307692,0.02220125786,€0 - €1.5K,750
51,Nino Mohorovičić,17,1566,92.11764706,175,75,22,7.12,1,0.06,0.25,0,0,0,0.23,0.29,0.79,0.31,0,36.7,0.62,1,13,0.17,7,0,0,0,0,0,0,0,1,0.75,0,Croatia (3. HNL Jug),0.81,84,0,0,0,0.02343550447,€6K - €18K,12000
52,Raphael Almeida,15,1380,92,187,84,28,7.47,1,0.07,0.38,0,0,0,0.07,0.07,0.79,0,0,31.5,0.92,1,15,0.46,42,0,0,0,0,0,0,0,0,3.2,0,Portugal (Campeonato dos Açores - Ponta Delgada),1,88,0,0,0,0.02282608696,€10K - €35K,22500
53,Ante Mrmić,16,1440,90,180,72,30,7.37,0,0,0,0,0,0,0,0.06,0.56,0,0,6.1,0,0,0,0,0,1.06,0,-0.5,1,1,1,0,2,0,0,Croatia (3. HNL Zapad),0,89,3,0,0,0.004236111111,€0 - €14K,7000
54,Dylan Collard,11,990,90,200,96,22,6.8,0,0,0,0,0.07,0,0,0.36,0.93,0,0,105.7,0.82,2,3,2.82,126,0,0,0,0,0,0,0,0,18.82,1,Portugal (FPF Liga 3),0.88,87,0,0,0,0.1067676768,€95K - €325K,210000
55,Dario Miškić,15,1350,90,200,96,26,7.19,0,0,0,0,0,0,0,0.07,0.55,0,0,7.8,0,0,0,0,0,1.6,-10.6,-0.15,5,1,2,0,0,0,0,Bosnia & Herzegovina (Liga 12),0,95,8,-0.7547169811,0,0.005777777778,€1.5K - €18K,9750
56,André Preto,11,990,90,180,76,29,6.67,0,0,0,0,0,0,0,0.18,0.43,0,0,59.1,0,0,0,0,0,1.55,0,-0.03,9,2,23,0,1,0,0,Portugal (Liga 3 Norte),0,87,34,0,0,0.0596969697,€1K - €12K,6500
57,Hrvoje Džijan,16,1440,90,185,82,26,7.49,1,0.06,0.29,0,0.69,0,0.19,0,0.76,0,0,20.9,0.92,0,12,0.38,25,0,0,0,0,0,0,0,0,1.5,0,Croatia (3. HNL Istok),0.97,90,0,0,1.449275362,0.01451388889,€1K - €10K,5500
58,Mate Šuto,12,1067,88.91666667,187,84,26,6.87,2,0.17,0.33,0,0.59,0.6,0,1.1,0.9,0.08,0.25,135.5,0.88,1,20,3.21,69,0,0,0,0,0,0,0,1,10.54,4,Croatia (Druga HNL),1,90,0,0,3.389830508,0.1269915651,€0 - €26K,13000
59,Marin Karamarko,12,1051,87.58333333,191,89,24,7.17,0,0,0,0,0.04,0,0.09,0.77,0.87,0.45,0.26,138.2,0.89,1,15,2.48,88,0,0,0,0,0,0,0,0,11.39,2,Slovenia (1. SNL),0.88,96,0,0,0,0.1314938154,€35K - €120K,77500
60,Karlo Majtanić,14,1290,92.14285714,181,79,27,7.39,1,0.07,0.11,0,0,0.75,0.21,0.14,0.75,0,0,13.3,0.72,1,27,0.21,21,0,0,0,0,0,0,0,1,1.26,0,Croatia (3. HNL Istok),0.9,81,0,0,0,0.01031007752,€5K - €16K,10500
61,Luka Jelenić,14,1260,90,188,77,22,7.34,2,0.14,0.14,0,0.06,0,0,0,0.73,0,0,8.4,0.78,0,22,0.07,9,0,0,0,0,0,0,0,1,1.29,1,Croatia (3. HNL Jug),1,80,0,0,33.33333333,0.006666666667,€0 - €9K,4500
62,Marko Šarić,16,1483,92.6875,191,87,25,7.38,1,0.06,0.35,0,1.39,0.6,0.36,0.42,0.68,0.28,0.42,43.1,0.74,0,22,0.36,8,0,0,0,0,0,0,0,2,2.12,2,Croatia (3. HNL Jug),0.84,83,0,0,0.7194244604,0.02906271072,€0 - €12K,6000
63,Josip Balentović,15,1380,92,182,80,28,6.92,1,0.07,0.29,0,0,0,0.2,0,0.75,0,0,15.5,0.91,0,20,0,3,0,0,0,0,0,0,0,0,0.72,1,Croatia (3. HNL Istok),0.95,80,0,0,0,0.01123188406,€0 - €5K,2500
64,Josip Tomašević,14,1193,85.21428571,187,77,29,6.7,0,0,0.5,0,0.16,0,0,0,0.92,0,0,129.9,0.81,3,21,3.17,163,0,0,0,0,0,0,0,0,13.73,1,Croatia (Prva HNL),0.92,99,0,0,0,0.1088851635,€0 - €70K,35000
65,Antun Marković,16,1440,90,193,91,29,6.75,0,0,0,0,0,0.13,0,0.12,0.64,0,0,65.2,0,0,0,0.44,0,2,-6,-0.02,38,9,22,0,0,0,0,Croatia (Prva HNL),0,101,69,-11.5,0,0.04527777778,€1K - €9K,5000
66,Mateo Jakšić,16,1440,90,183,75,23,7.09,1,0.06,0.22,0,0.1,0,0.12,0,0.71,0,0,21.3,0.73,0,15,0.38,15,0,0,0,0,0,0,0,1,1.88,1,Croatia (3. HNL Istok),0.91,84,0,0,10,0.01479166667,€500 - €4K,2250
67,Luka Dragojević,15,1380,92,181,74,24,7.25,2,0.13,0.3,0,0.15,0,0.13,0,0.72,0,0,13.6,0.79,0,17,0.26,9,0,0,0,0,0,0,0,1,0.91,0,Croatia (3. HNL Istok),0.96,84,0,0,13.33333333,0.009855072464,€0 - €8K,4000
68,Sava Čestić,19,1695,89.21052632,192,87,21,6.89,2,0.11,0.5,0,1.79,0.08,0.05,0.16,0.96,0,0.11,185.6,0.86,4,13,2.71,119,0,0,0,0,0,0,0,0,9.4,0,Croatia (Prva HNL),0.7,114,0,0,1.117318436,0.1094985251,€110K - €1.1M,605000
69,Diogo Branco,11,990,90,187,82,24,7.01,0,0,0,0,0.87,0,0,0.09,0.88,1,0,112,0.88,1,14,3,121,0,0,0,0,0,0,0,0,17.82,0,Portugal (Liga 3 Sul),0.75,91,0,0,0,0.1131313131,€12K - €40K,26000
70,Fábio Matos,11,975,88.63636364,190,75,23,6.45,0,0,0,0,0,0,0,0.09,0.48,0,0,66.6,0,0,0,0,0,1.94,0,-0.03,3,12,16,0,0,0,0,Portugal (Liga 3 Norte),0,89,31,0,0,0.06830769231,€4K - €40K,22000
71,Paulo Jorge,13,1170,90,185,78,27,7.06,0,0,0,0,0,0,0,0,0.6,0,0,5,0,0,0,0,0,1.46,0,-0.25,0,0,4,0,0,0,0,Portugal (Pro-Nacional - Braga),0,86,4,0,0,0.004273504274,€500 - €5K,2750
72,João Sidónio,11,990,90,186,75,23,6.78,0,0,0,0,0.29,0.1,0.09,0.18,0.92,0,0,118.7,0.79,1,10,2.73,121,0,0,0,0,0,0,0,1,17.27,1,Portugal (Liga 3 Norte),0.71,92,0,0,0,0.1198989899,€18K - €180K,99000
73,Maikol Benassi,14,1178,84.14285714,182,75,32,6.97,2,0.15,0.25,0,1.56,0.12,0,0.31,0.94,1,0,134.9,0.8,0,17,2.6,126,0,0,0,0,0,0,0,0,16.2,1,Italy (Lega Nazionale Dilettanti A),1,88,0,0,1.282051282,0.114516129,€0 - €60K,30000
74,Tiago Manso,14,1222,87.28571429,174,67,22,6.68,2,0.15,0.6,0,0.63,0.3,0.07,1.47,0.88,0.22,1.91,171.2,0.72,0,43,2.5,48,0,0,0,0,0,0,0,1,7.29,10,Portugal (Campeonato Safina - Aveiro),0.96,78,0,0,3.174603175,0.1400981997,€12K - €40K,26000
75,Marijan Čorić,14,1266,90.42857143,198,79,27,7.36,0,0,0,0,0,0,0,0,0.57,0,0,5.9,0,0,0,0,0,1.35,0,-0.25,1,2,3,0,0,0,0,Croatia (3. HNL Jug),0,83,6,0,0,0.004660347551,€3.5K - €12K,7750
76,Ivan Tokić,15,1400,93.33333333,187,77,30,7.57,2,0.13,0.14,0,0,0,0.13,0.26,0.82,0.55,0,25.6,0.86,1,15,0.32,14,0,0,0,0,0,0,0,0,1.41,0,Croatia (3. HNL Istok),0.91,81,0,0,0,0.01828571429,€0 - €2K,1000
77,Branimir Kalaica,15,1410,94,195,89,24,7.31,1,0.06,0.13,0,1.74,0.36,0.06,0.19,0.92,0.5,0,148.9,0.79,7,13,2.62,136,0,0,0,0,0,0,0,1,13.66,4,Croatia (3. HNL Zapad),1,102,0,0,0.5747126437,0.1056028369,€1K - €10K,5500
78,Ivan Banić,11,932,84.72727273,187,79,28,7.1,0,0,0,0,0,0,0,0.39,0.51,0,0,70.4,0,0,0,0,0,1.16,0,-0.05,7,4,13,0,1,0,0,Slovenia (1. SNL),0,110,24,0,0,0.07553648069,€9K - €90K,49500
79,Ivan Roca,17,1590,93.52941176,184,77,26,7.19,5,0.28,0.36,1,1.43,0.27,0.06,0.11,0.79,0,0,41.3,0.91,1,27,0.28,28,0,0,0,0,0,0,0.81,0,2.43,0,Croatia (3. HNL Jug),0.81,88,0,0,3.496503497,0.02597484277,€1.5K - €4K,2750
80,Filipe Almeida,13,1170,90,184,73,25,6.92,0,0,0.14,0,0.84,0,0,0.31,0.9,0,0,127,0.81,5,4,3.46,157,0,0,0,0,0,0,0,0,17.08,2,Portugal (Liga Portugal 2),0.71,99,0,0,0,0.1085470085,€3.5K - €35K,19250
81,Ervin Omic,11,907,82.45454545,184,73,19,6.91,0,0,0.43,0,1.24,0.1,0.3,0.6,0.77,1,0.4,38.2,0.64,0,13,0.5,3,0,0,0,0,0,0,0,0,2.18,0,Austria (ADMIRAL 2. Liga),0.76,97,0,0,0,0.0421168688,€275K - €2.6M,1437500
82,Jorge Pereira,11,990,90,176,65,24,7.12,1,0.09,0.46,0,1.63,0.72,0.09,1.27,0.89,0.16,0.18,120.2,0.7,3,13,2.09,57,0,0,0,0,0,0,0,1,8.91,1,Portugal (Liga 3 Norte),0.84,95,0,0,0.6134969325,0.1214141414,€60K - €210K,135000
83,Martim Maia,12,1060,88.33333333,175,78,24,6.87,1,0.08,0.11,0,1.3,0.09,0.17,0.68,0.94,0,0,141.6,0.67,1,6,1.27,26,0,0,0,0,0,0,0,1,3.31,0,Portugal (Liga Portugal 2),0.86,101,0,0,0.7692307692,0.1335849057,€4K - €40K,22000
84,Zé Oliveira,11,990,90,187,75,26,6.77,0,0,0,0,0.25,0.1,0,0.91,0.88,0.14,0.36,124.3,0.81,0,21,3,56,0,0,0,0,0,0,0,0,6.55,0,Portugal (Liga 3 Norte),0.86,90,0,0,0,0.1255555556,€0 - €75K,37500
85,Hélio Cruz,12,1072,89.33333333,180,72,29,7.36,0,0,0.25,0,0.48,0.19,0.08,1.43,0.93,0.38,0.5,145.7,0.57,1,21,1.51,21,0,0,0,0,0,0,0,0,5.71,1,Portugal (Liga Portugal 2),0.73,93,0,0,0,0.1359141791,€0 - €65K,32500
86,Carlos Freitas,11,948,86.18181818,177,69,28,6.64,1,0.09,0.13,0,1.75,0.21,0.09,0.95,0.91,0.18,0.47,126.8,0.76,1,14,2.75,66,0,0,0,0,0,0,0,1,8.07,6,Portugal (Liga 3 Norte),0.89,91,0,0,0.5714285714,0.1337552743,€0 - €90K,45000
87,Ricardo Bagadur,13,1170,90,189,77,27,6.85,0,0,0,0,0.73,0,0,0,0.94,0,0.08,137.7,0.76,1,11,1.54,108,0,0,0,0,0,0,0,0,14.38,0,Croatia (Druga HNL),0.9,100,0,0,0,0.1176923077,€35K - €120K,77500
88,Benny,14,1120,80,192,78,26,6.56,0,0,0.08,0,1.51,0.11,0,0.32,0.94,0,0.16,147.7,0.84,0,22,1.45,56,0,0,0,0,0,0,0,0,7.96,1,Portugal (Liga Portugal 2),0.81,101,0,0,0,0.131875,€10K - €110K,60000
89,Benny,14,1120,80,192,78,26,6.56,0,0,0.08,0,1.51,0.11,0,0.32,0.94,0,0.16,147.7,0.84,0,22,1.45,56,0,0,0,0,0,0,0,0,7.96,1,Portugal (Liga Portugal 2),0.81,101,0,0,0,0.131875,€80K - €800K,440000
